Pref	Name
Amac	Allomyces_macrogynus_ATCC_38327.v3
Artol1	Arthrobotrys_oligospora_ATCC_24927.Artol1
Bacci1	Backusella_circina_FSU_941
Bhet	Basidiobolus_heterosporus_B8920.v1.TFASTX
Basme2finSC	Basidiobolus_meristosporus_CBS_931.73
Batde5	Batrachochytrium_dendrobatidis_JAM81
Cowc	Capsaspora_owczarzaki_ATCC_30864.v2
Catan1	Catenaria_anguillulae_PL171
Coere1	Coemansia_reversa_NRRL_1564
Conco1	Conidiobolus_coronatus_NRRL_28638
Conth1	Conidiobolus_thromboides_FSU_785
Ccin	Coprinopsis_cinerea_okayama7_130
Cneo	Cryptococcus_neoformans_JEC21
Dmel	Drosophila_melanogaster.vr6.04
Ganpr1	Gonapodya_prolifera_JEL478
Hesve2finisherSC	Hesseltinella_vesiculosa_NRRL_3301
Hpol	Homoloaphlyctis_polyrhiza_JEL142.v2
Lcor	Lichtheimia_corymbifera_FSU_9682
Lichy1	Lichtheimia_hyalospora_FSU_10163
Linpe1	Linderina_pennispora_ATCC_12442
Marpt1	Martensiomyces_pterosporus_CBS_209.56
Mbre	Monosiga_brevicolis_MX1.v1
Morel1	Mortierella_elongata
Mver	Mortierella_verticillata_NRRL_6337
Mucci2	Mucor_circinelloides_CBS277.49
Ncra	Neurospora_crassa_OR74A
Orpsp1_1	Orpinomyces_sp_C1A.Orpsp1_1
Pfor	Pandora_formicae.v1.TFASTX
Phybl2	Phycomyces_blakesleeanus_NRRL_1555
Pipcy2	Piptocephalis_cylindrospora
PirE2_1	Piromyces_sp_E2
Pgra	Puccinia_graminis_f._sp._tritici_CRL_75_36_700_3
Rambr1	Ramicandelaber_brevisporus_CBS_109374
Gloin1	Rhizophagus_irregularis_DAOM_181602
Rdel	Rhizopus_delemar_RA_99_880
Rhich1	Rhizopus_microsporus_var_chinensis_CCTCC_M201021.Rhich1
Rhimi1_1	Rhizopus_microsporus_var_microsporus_ATCC_52813
Rall	Rozella_allomycis_CSF55
Scer	Saccharomyces_cerevisiae_S288C.vR64_2_1
Svas	Saksenaea_vasiformis_B4078
Spom	Schizosaccharomyces_pombe_972h_.vASM294v2
Spun	Spizellomyces_punctatus_DAOM_BR117.v1
Umbra1	Umbelopsis_ramanniana_NRRL_5844
Umay	Ustilago_maydis_521.v190413
Ylip	Yarrowia_lipolytica_CLIB122
Zrad	Zoophthora_radicans_ATCC_208865.TFASTX
